;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 4/15/2023 3:19:46 PM
;----------------------------------------------

;Address Opcode 	ASM
;COCIMIC_FP_Compiler.c,258 :: 		if (PORTB.f5 == 0) {
0x004E	0x1283      	BCF        STATUS, 5
0x004F	0x1A86      	BTFSC      PORTB, 5
0x0050	0x2887      	GOTO       L_interrupt66
;COCIMIC_FP_Compiler.c,259 :: 		keyFlag = 1;    // Set keyFlag
0x0051	0x3001      	MOVLW      1
0x0052	0x1683      	BSF        STATUS, 5
0x0053	0x00C5      	MOVWF      _keyFlag
0x0054	0x3000      	MOVLW      0
0x0055	0x00C6      	MOVWF      _keyFlag+1
;COCIMIC_FP_Compiler.c,260 :: 		delay_ms(100);  // Debounce button
0x0056	0x3003      	MOVLW      3
0x0057	0x00FB      	MOVWF      R11
0x0058	0x308A      	MOVLW      138
0x0059	0x00FC      	MOVWF      R12
0x005A	0x3055      	MOVLW      85
0x005B	0x00FD      	MOVWF      R13
L_interrupt67:
0x005C	0x0BFD      	DECFSZ     R13, 1
0x005D	0x285C      	GOTO       L_interrupt67
0x005E	0x0BFC      	DECFSZ     R12, 1
0x005F	0x285C      	GOTO       L_interrupt67
0x0060	0x0BFB      	DECFSZ     R11, 1
0x0061	0x285C      	GOTO       L_interrupt67
0x0062	0x0000      	NOP
0x0063	0x0000      	NOP
;COCIMIC_FP_Compiler.c,261 :: 		if (PORTB.f0 == 0) {
0x0064	0x1283      	BCF        STATUS, 5
0x0065	0x1806      	BTFSC      PORTB, 0
0x0066	0x286D      	GOTO       L_interrupt68
;COCIMIC_FP_Compiler.c,262 :: 		key = 2;  // Set keypad value to 2
0x0067	0x3002      	MOVLW      2
0x0068	0x1683      	BSF        STATUS, 5
0x0069	0x00C1      	MOVWF      _key
0x006A	0x3000      	MOVLW      0
0x006B	0x00C2      	MOVWF      _key+1
;COCIMIC_FP_Compiler.c,263 :: 		} else if (PORTB.f1 == 0) {
0x006C	0x2887      	GOTO       L_interrupt69
L_interrupt68:
0x006D	0x1283      	BCF        STATUS, 5
0x006E	0x1886      	BTFSC      PORTB, 1
0x006F	0x2876      	GOTO       L_interrupt70
;COCIMIC_FP_Compiler.c,264 :: 		key = 5;  // Set keypad value to 5
0x0070	0x3005      	MOVLW      5
0x0071	0x1683      	BSF        STATUS, 5
0x0072	0x00C1      	MOVWF      _key
0x0073	0x3000      	MOVLW      0
0x0074	0x00C2      	MOVWF      _key+1
;COCIMIC_FP_Compiler.c,265 :: 		} else if (PORTB.f2 == 0) {
0x0075	0x2887      	GOTO       L_interrupt71
L_interrupt70:
0x0076	0x1283      	BCF        STATUS, 5
0x0077	0x1906      	BTFSC      PORTB, 2
0x0078	0x287F      	GOTO       L_interrupt72
;COCIMIC_FP_Compiler.c,266 :: 		key = 8;  // Set keypad value to 8
0x0079	0x3008      	MOVLW      8
0x007A	0x1683      	BSF        STATUS, 5
0x007B	0x00C1      	MOVWF      _key
0x007C	0x3000      	MOVLW      0
0x007D	0x00C2      	MOVWF      _key+1
;COCIMIC_FP_Compiler.c,267 :: 		} else if (PORTB.f3 == 12) {
0x007E	0x2887      	GOTO       L_interrupt73
L_interrupt72:
0x007F	0x1283      	BCF        STATUS, 5
0x0080	0x1986      	BTFSC      PORTB, 3
0x0081	0x2887      	GOTO       L_interrupt74
;COCIMIC_FP_Compiler.c,268 :: 		key = 12;  // Set keypad value to 12
0x0082	0x300C      	MOVLW      12
0x0083	0x1683      	BSF        STATUS, 5
0x0084	0x00C1      	MOVWF      _key
0x0085	0x3000      	MOVLW      0
0x0086	0x00C2      	MOVWF      _key+1
;COCIMIC_FP_Compiler.c,269 :: 		}
L_interrupt74:
L_interrupt73:
L_interrupt71:
L_interrupt69:
;COCIMIC_FP_Compiler.c,270 :: 		}
L_interrupt66:
;COCIMIC_FP_Compiler.c,272 :: 		if (PORTB.f6 == 0) {
0x0087	0x1283      	BCF        STATUS, 5
0x0088	0x1B06      	BTFSC      PORTB, 6
0x0089	0x28C0      	GOTO       L_interrupt75
;COCIMIC_FP_Compiler.c,273 :: 		keyFlag = 1;    // Set keyFlag
0x008A	0x3001      	MOVLW      1
0x008B	0x1683      	BSF        STATUS, 5
0x008C	0x00C5      	MOVWF      _keyFlag
0x008D	0x3000      	MOVLW      0
0x008E	0x00C6      	MOVWF      _keyFlag+1
;COCIMIC_FP_Compiler.c,274 :: 		delay_ms(100);  // Debounce button
0x008F	0x3003      	MOVLW      3
0x0090	0x00FB      	MOVWF      R11
0x0091	0x308A      	MOVLW      138
0x0092	0x00FC      	MOVWF      R12
0x0093	0x3055      	MOVLW      85
0x0094	0x00FD      	MOVWF      R13
L_interrupt76:
0x0095	0x0BFD      	DECFSZ     R13, 1
0x0096	0x2895      	GOTO       L_interrupt76
0x0097	0x0BFC      	DECFSZ     R12, 1
0x0098	0x2895      	GOTO       L_interrupt76
0x0099	0x0BFB      	DECFSZ     R11, 1
0x009A	0x2895      	GOTO       L_interrupt76
0x009B	0x0000      	NOP
0x009C	0x0000      	NOP
;COCIMIC_FP_Compiler.c,275 :: 		if (PORTB.f0 == 0) {
0x009D	0x1283      	BCF        STATUS, 5
0x009E	0x1806      	BTFSC      PORTB, 0
0x009F	0x28A6      	GOTO       L_interrupt77
;COCIMIC_FP_Compiler.c,276 :: 		key = 3;  // Set keypad value to 3
0x00A0	0x3003      	MOVLW      3
0x00A1	0x1683      	BSF        STATUS, 5
0x00A2	0x00C1      	MOVWF      _key
0x00A3	0x3000      	MOVLW      0
0x00A4	0x00C2      	MOVWF      _key+1
;COCIMIC_FP_Compiler.c,277 :: 		} else if (PORTB.f1 == 0) {
0x00A5	0x28C0      	GOTO       L_interrupt78
L_interrupt77:
0x00A6	0x1283      	BCF        STATUS, 5
0x00A7	0x1886      	BTFSC      PORTB, 1
0x00A8	0x28AF      	GOTO       L_interrupt79
;COCIMIC_FP_Compiler.c,278 :: 		key = 6;  // Set keypad value to 6
0x00A9	0x3006      	MOVLW      6
0x00AA	0x1683      	BSF        STATUS, 5
0x00AB	0x00C1      	MOVWF      _key
0x00AC	0x3000      	MOVLW      0
0x00AD	0x00C2      	MOVWF      _key+1
;COCIMIC_FP_Compiler.c,279 :: 		} else if (PORTB.f2 == 0) {
0x00AE	0x28C0      	GOTO       L_interrupt80
L_interrupt79:
0x00AF	0x1283      	BCF        STATUS, 5
0x00B0	0x1906      	BTFSC      PORTB, 2
0x00B1	0x28B8      	GOTO       L_interrupt81
;COCIMIC_FP_Compiler.c,280 :: 		key = 9;  // Set keypad value to 9
0x00B2	0x3009      	MOVLW      9
0x00B3	0x1683      	BSF        STATUS, 5
0x00B4	0x00C1      	MOVWF      _key
0x00B5	0x3000      	MOVLW      0
0x00B6	0x00C2      	MOVWF      _key+1
;COCIMIC_FP_Compiler.c,281 :: 		} else if (PORTB.f3 == 0) {
0x00B7	0x28C0      	GOTO       L_interrupt82
L_interrupt81:
0x00B8	0x1283      	BCF        STATUS, 5
0x00B9	0x1986      	BTFSC      PORTB, 3
0x00BA	0x28C0      	GOTO       L_interrupt83
;COCIMIC_FP_Compiler.c,282 :: 		key = 11;  // Set keypad value to 11 (#)
0x00BB	0x300B      	MOVLW      11
0x00BC	0x1683      	BSF        STATUS, 5
0x00BD	0x00C1      	MOVWF      _key
0x00BE	0x3000      	MOVLW      0
0x00BF	0x00C2      	MOVWF      _key+1
;COCIMIC_FP_Compiler.c,283 :: 		}
L_interrupt83:
L_interrupt82:
L_interrupt80:
L_interrupt78:
;COCIMIC_FP_Compiler.c,284 :: 		}
L_interrupt75:
;COCIMIC_FP_Compiler.c,286 :: 		INTCON.f0 = 0;  // Clear RBIF
0x00C0	0x100B      	BCF        INTCON, 0
;COCIMIC_FP_Compiler.c,287 :: 		}
L_interrupt56:
;COCIMIC_FP_Compiler.c,288 :: 		INTCON.f7 = 1;  // Set GIE
0x00C1	0x178B      	BSF        INTCON, 7
;COCIMIC_FP_Compiler.c,289 :: 		}
L_end_interrupt:
L__interrupt126:
0x00C2	0x1283      	BCF        STATUS, 5
0x00C3	0x0822      	MOVF       34, 0
0x00C4	0x00FB      	MOVWF      R11
0x00C5	0x0821      	MOVF       33, 0
0x00C6	0x00FC      	MOVWF      R12
0x00C7	0x0820      	MOVF       32, 0
0x00C8	0x00FD      	MOVWF      R13
0x00C9	0x1683      	BSF        STATUS, 5
0x00CA	0x085C      	MOVF       ___savePCLATH, 0
0x00CB	0x008A      	MOVWF      PCLATH
0x00CC	0x0E5D      	SWAPF      ___saveSTATUS, 0
0x00CD	0x0083      	MOVWF      STATUS
0x00CE	0x0EFF      	SWAPF      R15, 1
0x00CF	0x0E7F      	SWAPF      R15, 0
0x00D0	0x0009      	RETFIE
; end of _interrupt
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x00D1	0x3053      	MOVLW      83
0x00D2	0x1283      	BCF        STATUS, 5
0x00D3	0x1303      	BCF        STATUS, 6
0x00D4	0x00FD      	MOVWF      R13
L_Delay_50us2:
0x00D5	0x0BFD      	DECFSZ     R13, 1
0x00D6	0x28D5      	GOTO       L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x00D7	0x0008      	RETURN
; end of _Delay_50us
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x00D8	0x3024      	MOVLW      36
0x00D9	0x1283      	BCF        STATUS, 5
0x00DA	0x1303      	BCF        STATUS, 6
0x00DB	0x00FC      	MOVWF      R12
0x00DC	0x30B5      	MOVLW      181
0x00DD	0x00FD      	MOVWF      R13
L_Delay_5500us5:
0x00DE	0x0BFD      	DECFSZ     R13, 1
0x00DF	0x28DE      	GOTO       L_Delay_5500us5
0x00E0	0x0BFC      	DECFSZ     R12, 1
0x00E1	0x28DE      	GOTO       L_Delay_5500us5
0x00E2	0x0000      	NOP
0x00E3	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x00E4	0x0008      	RETURN
; end of _Delay_5500us
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x00E5	0x0000      	NOP
0x00E6	0x0000      	NOP
0x00E7	0x0000      	NOP
0x00E8	0x0000      	NOP
0x00E9	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x00EA	0x0008      	RETURN
; end of _Delay_1us
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x00EB	0x1283      	BCF        STATUS, 5
0x00EC	0x1703      	BSF        STATUS, 6
0x00ED	0x1B90      	BTFSC      FARG_Lcd_Cmd_out_char, 7
0x00EE	0x28F2      	GOTO       L__Lcd_Cmd21
0x00EF	0x1303      	BCF        STATUS, 6
0x00F0	0x1388      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00F1	0x28F4      	GOTO       L__Lcd_Cmd22
L__Lcd_Cmd21:
0x00F2	0x1303      	BCF        STATUS, 6
0x00F3	0x1788      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd22:
;__Lib_Lcd.c,21 :: 		
0x00F4	0x1703      	BSF        STATUS, 6
0x00F5	0x1B10      	BTFSC      FARG_Lcd_Cmd_out_char, 6
0x00F6	0x28FA      	GOTO       L__Lcd_Cmd23
0x00F7	0x1303      	BCF        STATUS, 6
0x00F8	0x1308      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00F9	0x28FC      	GOTO       L__Lcd_Cmd24
L__Lcd_Cmd23:
0x00FA	0x1303      	BCF        STATUS, 6
0x00FB	0x1708      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd24:
;__Lib_Lcd.c,22 :: 		
0x00FC	0x1703      	BSF        STATUS, 6
0x00FD	0x1A90      	BTFSC      FARG_Lcd_Cmd_out_char, 5
0x00FE	0x2902      	GOTO       L__Lcd_Cmd25
0x00FF	0x1303      	BCF        STATUS, 6
0x0100	0x1288      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x0101	0x2904      	GOTO       L__Lcd_Cmd26
L__Lcd_Cmd25:
0x0102	0x1303      	BCF        STATUS, 6
0x0103	0x1688      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd26:
;__Lib_Lcd.c,23 :: 		
0x0104	0x1703      	BSF        STATUS, 6
0x0105	0x1A10      	BTFSC      FARG_Lcd_Cmd_out_char, 4
0x0106	0x290A      	GOTO       L__Lcd_Cmd27
0x0107	0x1303      	BCF        STATUS, 6
0x0108	0x1208      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x0109	0x290C      	GOTO       L__Lcd_Cmd28
L__Lcd_Cmd27:
0x010A	0x1303      	BCF        STATUS, 6
0x010B	0x1608      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd28:
;__Lib_Lcd.c,25 :: 		
0x010C	0x186F      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x010D	0x2910      	GOTO       L__Lcd_Cmd29
0x010E	0x1508      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x010F	0x2911      	GOTO       L__Lcd_Cmd30
L__Lcd_Cmd29:
0x0110	0x1108      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd30:
;__Lib_Lcd.c,28 :: 		
0x0111	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,29 :: 		
0x0112	0x20E5      	CALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x0113	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,33 :: 		
0x0114	0x1703      	BSF        STATUS, 6
0x0115	0x1990      	BTFSC      FARG_Lcd_Cmd_out_char, 3
0x0116	0x291A      	GOTO       L__Lcd_Cmd31
0x0117	0x1303      	BCF        STATUS, 6
0x0118	0x1388      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x0119	0x291C      	GOTO       L__Lcd_Cmd32
L__Lcd_Cmd31:
0x011A	0x1303      	BCF        STATUS, 6
0x011B	0x1788      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd32:
;__Lib_Lcd.c,34 :: 		
0x011C	0x1703      	BSF        STATUS, 6
0x011D	0x1910      	BTFSC      FARG_Lcd_Cmd_out_char, 2
0x011E	0x2922      	GOTO       L__Lcd_Cmd33
0x011F	0x1303      	BCF        STATUS, 6
0x0120	0x1308      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x0121	0x2924      	GOTO       L__Lcd_Cmd34
L__Lcd_Cmd33:
0x0122	0x1303      	BCF        STATUS, 6
0x0123	0x1708      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd34:
;__Lib_Lcd.c,35 :: 		
0x0124	0x1703      	BSF        STATUS, 6
0x0125	0x1890      	BTFSC      FARG_Lcd_Cmd_out_char, 1
0x0126	0x292A      	GOTO       L__Lcd_Cmd35
0x0127	0x1303      	BCF        STATUS, 6
0x0128	0x1288      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x0129	0x292C      	GOTO       L__Lcd_Cmd36
L__Lcd_Cmd35:
0x012A	0x1303      	BCF        STATUS, 6
0x012B	0x1688      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd36:
;__Lib_Lcd.c,36 :: 		
0x012C	0x1703      	BSF        STATUS, 6
0x012D	0x1810      	BTFSC      FARG_Lcd_Cmd_out_char, 0
0x012E	0x2932      	GOTO       L__Lcd_Cmd37
0x012F	0x1303      	BCF        STATUS, 6
0x0130	0x1208      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x0131	0x2934      	GOTO       L__Lcd_Cmd38
L__Lcd_Cmd37:
0x0132	0x1303      	BCF        STATUS, 6
0x0133	0x1608      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd38:
;__Lib_Lcd.c,38 :: 		
0x0134	0x186F      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x0135	0x2938      	GOTO       L__Lcd_Cmd39
0x0136	0x1508      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x0137	0x2939      	GOTO       L__Lcd_Cmd40
L__Lcd_Cmd39:
0x0138	0x1108      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd40:
;__Lib_Lcd.c,40 :: 		
0x0139	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,41 :: 		
0x013A	0x20E5      	CALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x013B	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,44 :: 		
0x013C	0x1C6F      	BTFSS      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x013D	0x2940      	GOTO       L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x013E	0x20D8      	CALL       _Delay_5500us
0x013F	0x2941      	GOTO       L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x0140	0x20D1      	CALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x0141	0x0008      	RETURN
; end of _Lcd_Cmd
_Mul_16x16_U:
;__Lib_Math.c,136 :: 		
;__Lib_Math.c,143 :: 		
0x0142	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,144 :: 		
0x0143	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,145 :: 		
0x0144	0x01FB      	CLRF       R11
;__Lib_Math.c,146 :: 		
0x0145	0x01FA      	CLRF       R10
;__Lib_Math.c,147 :: 		
0x0146	0x01F9      	CLRF       R9
;__Lib_Math.c,148 :: 		
0x0147	0x3080      	MOVLW      128
;__Lib_Math.c,149 :: 		
0x0148	0x00F8      	MOVWF      R8
;__Lib_Math.c,150 :: 		
0x0149	0x0CF1      	RRF        R1, 1
;__Lib_Math.c,151 :: 		
0x014A	0x0CF0      	RRF        R0, 1
;__Lib_Math.c,152 :: 		
0x014B	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,153 :: 		
0x014C	0x2956      	GOTO       $+10
;__Lib_Math.c,154 :: 		
0x014D	0x0874      	MOVF       R4, 0
;__Lib_Math.c,155 :: 		
0x014E	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,156 :: 		
0x014F	0x0875      	MOVF       R5, 0
;__Lib_Math.c,157 :: 		
0x0150	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,158 :: 		
0x0151	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,159 :: 		
0x0152	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,160 :: 		
0x0153	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,161 :: 		
0x0154	0x0AFB      	INCF       R11, 1
;__Lib_Math.c,162 :: 		
0x0155	0x1003      	BCF        STATUS, 0
;__Lib_Math.c,163 :: 		
0x0156	0x1FF0      	BTFSS      R0, 7
;__Lib_Math.c,164 :: 		
0x0157	0x295E      	GOTO       $+7
;__Lib_Math.c,165 :: 		
0x0158	0x0874      	MOVF       R4, 0
;__Lib_Math.c,166 :: 		
0x0159	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,167 :: 		
0x015A	0x0875      	MOVF       R5, 0
;__Lib_Math.c,168 :: 		
0x015B	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,169 :: 		
0x015C	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,170 :: 		
0x015D	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,171 :: 		
0x015E	0x0CFB      	RRF        R11, 1
;__Lib_Math.c,172 :: 		
0x015F	0x0CFA      	RRF        R10, 1
;__Lib_Math.c,173 :: 		
0x0160	0x0CF9      	RRF        R9, 1
;__Lib_Math.c,174 :: 		
0x0161	0x0CF8      	RRF        R8, 1
;__Lib_Math.c,175 :: 		
0x0162	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,176 :: 		
0x0163	0x2949      	GOTO       $-26
;__Lib_Math.c,177 :: 		
0x0164	0x087B      	MOVF       R11, 0
;__Lib_Math.c,178 :: 		
0x0165	0x00F3      	MOVWF      R3
;__Lib_Math.c,179 :: 		
0x0166	0x087A      	MOVF       R10, 0
;__Lib_Math.c,180 :: 		
0x0167	0x00F2      	MOVWF      R2
;__Lib_Math.c,181 :: 		
0x0168	0x0879      	MOVF       R9, 0
;__Lib_Math.c,182 :: 		
0x0169	0x00F1      	MOVWF      R1
;__Lib_Math.c,183 :: 		
0x016A	0x0878      	MOVF       R8, 0
;__Lib_Math.c,184 :: 		
0x016B	0x00F0      	MOVWF      R0
;__Lib_Math.c,187 :: 		
L_end_Mul_16x16_U:
0x016C	0x0008      	RETURN
; end of _Mul_16x16_U
_Div_16x16_U:
;__Lib_Math.c,215 :: 		
;__Lib_Math.c,222 :: 		
0x016D	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,223 :: 		
0x016E	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,224 :: 		
0x016F	0x01F8      	CLRF       R8
;__Lib_Math.c,225 :: 		
0x0170	0x01F9      	CLRF       R9
;__Lib_Math.c,226 :: 		
0x0171	0x3010      	MOVLW      16
;__Lib_Math.c,227 :: 		
0x0172	0x00FC      	MOVWF      R12
;__Lib_Math.c,228 :: 		
0x0173	0x0D71      	RLF        R1, 0
;__Lib_Math.c,229 :: 		
0x0174	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,230 :: 		
0x0175	0x0DF9      	RLF        R9, 1
;__Lib_Math.c,231 :: 		
0x0176	0x0874      	MOVF       R4, 0
;__Lib_Math.c,232 :: 		
0x0177	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,233 :: 		
0x0178	0x0875      	MOVF       R5, 0
;__Lib_Math.c,234 :: 		
0x0179	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,235 :: 		
0x017A	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,236 :: 		
0x017B	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,237 :: 		
0x017C	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,238 :: 		
0x017D	0x2985      	GOTO       $+8
;__Lib_Math.c,239 :: 		
0x017E	0x0874      	MOVF       R4, 0
;__Lib_Math.c,240 :: 		
0x017F	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,241 :: 		
0x0180	0x0875      	MOVF       R5, 0
;__Lib_Math.c,242 :: 		
0x0181	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,243 :: 		
0x0182	0x0F75      	INCFSZ     R5, 0
